review_id,product_id,category,seller_id,user_id,rating,review_text,delivery_time,verified_purchase,helpful_votes,review_date,sales,review_length,word_count,sentiment_label
R10028,P1145,Sports,S272,U10555,5,Loved it — price exceeded my expectations.,2,False,0,2021-04-23,106,42,7,positive
R10029,P1003,Beauty,S283,U6674,4,Very satisfied with the battery and performance. Works as expected.,4,True,1,2023-10-16,76,67,10,positive
R10030,P1382,Beauty,S312,U8527,5,Very satisfied with the delivery and performance. Works as expected.,5,False,0,2022-12-27,95,68,10,positive
R10031,P1036,Books,S229,U8252,4,Loved it — quality exceeded my expectations. Will buy again.,2,True,0,2024-12-24,87,60,10,positive
R10032,P1327,Toys,S327,U8421,3,It's okay. The battery is average.,3,False,1,2023-08-01,57,34,6,neutral
R10033,P1425,Beauty,S305,U10649,4,"Excellent product, great fit, highly recommend!",6,True,0,2021-06-11,73,47,6,positive
R10034,P1202,Home & Kitchen,S253,U7541,1,Bad experience — fit is subpar and delivery was late.,4,True,0,2023-11-11,63,53,10,negative
R10035,P1099,Grocery,S342,U11358,4,Good value for money. fit is top notch.,5,True,0,2021-10-27,89,39,8,positive
R10036,P1131,Home & Kitchen,S278,U6616,5,Five stars. Great delivery and fast delivery.,0,False,0,2024-07-10,80,45,7,positive
R10037,P1252,Books,S282,U8800,2,Wrong size and bad packaging. price was the main issue.,2,False,0,2022-10-24,87,55,10,negative
R10038,P1442,Beauty,S319,U10138,4,Very satisfied with the fit and performance. Works as expected.,1,False,0,2024-04-26,87,63,10,positive
R10039,P1028,Home & Kitchen,S321,U7883,4,"Excellent product, great performance, highly recommend!",5,True,1,2021-07-04,90,55,6,positive
R10040,P1314,Home & Kitchen,S261,U9866,4,Loved it — performance exceeded my expectations.,5,False,16,2023-07-11,101,48,7,positive
R10041,P1465,Books,S205,U11634,1,Bad experience — price is subpar and delivery was late.,2,True,4,2021-07-31,38,55,10,negative
R10042,P1415,Grocery,S211,U11859,2,Very disappointed. Poor fit and arrived damaged.,6,True,104,2023-06-19,78,48,7,negative
R10043,P1268,Books,S349,U9282,3,It's okay. The price is average.,5,True,9,2024-10-22,66,32,6,neutral
R10044,P1306,Clothing,S268,U5428,5,"Excellent product, great fit, highly recommend!",3,True,9,2024-09-06,106,47,6,positive
R10045,P1493,Grocery,S233,U9937,5,Good value for money. delivery is top notch. Not worth the price.,3,True,0,2024-09-18,84,65,12,positive
R10046,P1200,Electronics,S215,U6056,5,"Excellent product, great price, highly recommend!",3,False,0,2024-10-04,93,49,6,positive
R10047,P1359,Sports,S341,U11790,3,It's okay. The performance is average.,1,True,3,2022-01-05,86,38,6,neutral
R10048,P1486,Grocery,S233,U6754,2,Wrong size and bad packaging. fit was the main issue.,2,True,0,2021-07-27,67,53,10,negative
R10049,P1259,Beauty,S268,U11315,5,Five stars. Great performance and fast delivery. Packaging was neat.,3,True,3,2021-11-12,83,68,10,positive
R10050,P1083,Clothing,S262,U6481,4,VERY SATISFIED WITH THE PRICE AND PERFORMANCE. WORKS AS EXPECTED.,2,True,0,2023-06-29,71,65,10,positive
R10051,P1312,Beauty,S231,U7334,4,Very satisfied with the warranty and performance. Works as expected.,5,True,26,2022-02-02,77,68,10,positive
R10052,P1188,Beauty,S230,U10556,5,Loved it — price exceeded my expectations.,0,True,8,2021-11-28,111,42,7,positive
R10053,P1418,Books,S275,U6635,4,VERY SATISFIED WITH THE PRICE AND PERFORMANCE. WORKS AS EXPECTED.,6,True,0,2021-07-30,81,65,10,positive
R10054,P1364,Toys,S248,U11929,5,"Excellent product, great performance, highly recommend!",3,False,0,2021-10-29,62,55,6,positive
R10055,P1425,Beauty,S305,U8583,5,Very satisfied with the packaging and performance. Works as expected.,6,True,1,2023-03-23,102,69,10,positive
R10056,P1257,Home & Kitchen,S347,U8063,5,Loved it — size exceeded my expectations.,3,False,0,2024-08-24,96,41,7,positive
R10057,P1171,Books,S247,U11482,3,It's okay. The delivery is average. Customer support helped.,5,True,0,2023-07-08,39,60,9,neutral
R10058,P1315,Sports,S240,U5043,5,"Excellent product, great packaging, highly recommend!",7,True,0,2023-12-17,81,53,6,positive
R10059,P1216,Books,S274,U5910,4,VERY SATISFIED WITH THE BATTERY AND PERFORMANCE. WORKS AS EXPECTED.,2,False,2,2023-07-26,88,67,10,positive
R10060,P1032,Sports,S319,U5908,5,Five stars. Great warranty and fast delivery.,5,True,0,2022-08-20,118,45,7,positive
R10061,P1219,Books,S273,U5012,4,Good value for money. price is top notch.,1,True,0,2023-01-09,108,41,8,positive
R10062,P1034,Toys,S294,U9309,4,Five stars. Great performance and fast delivery.,9,True,3,2023-03-04,115,48,7,positive
R10063,P1191,Clothing,S257,U7077,5,Good value for money. quality is top notch.,3,True,0,2024-04-06,111,43,8,positive
R10064,P1376,Toys,S326,U11198,4,Very satisfied with the fit and performance. Works as expected. Packaging was neat.,3,True,0,2023-08-10,55,83,13,positive
R10065,P1356,Home & Kitchen,S323,U8920,3,IT'S OKAY. THE DELIVERY IS AVERAGE. CUSTOMER SUPPORT HELPED.,3,False,0,2021-03-27,95,60,9,neutral
R10066,P1161,Electronics,S232,U7540,2,Wrong size and bad packaging. performance was the main issue.,1,True,0,2022-01-27,10,61,10,negative
R10067,P1146,Books,S225,U7924,3,Decent product for the price. quality is acceptable.,2,False,0,2023-06-20,72,52,8,neutral
R10068,P1458,Grocery,S260,U8167,5,Very satisfied with the fit and performance. Works as expected.,1,True,0,2021-06-19,86,63,10,positive
R10069,P1372,Sports,S321,U8477,4,Loved it — packaging exceeded my expectations.,3,True,0,2021-06-13,27,46,7,positive
R10070,P1167,Beauty,S320,U10414,5,Good value for money. battery is top notch.,2,True,0,2023-07-05,64,43,8,positive
R10071,P1021,Clothing,S207,U10954,3,Decent product for the price. fit is acceptable.,0,False,0,2021-06-03,52,48,8,neutral
R10072,P1343,Sports,S270,U10222,3,Neither good nor bad; material could be better.,3,True,3,2024-05-29,74,47,8,neutral
R10073,P1347,Sports,S268,U11400,4,"Excellent product, great warranty, highly recommend! Not worth the price.",2,True,0,2024-03-07,71,73,10,positive
R10074,P1016,Grocery,S213,U9956,4,Loved it — delivery exceeded my expectations.,4,True,0,2023-12-21,64,45,7,positive
R10075,P1187,Beauty,S263,U8260,2,Stopped working after a few days. Terrible fit.,1,True,8,2023-03-04,55,47,8,negative
R10076,P1467,Electronics,S270,U9601,4,Good value for money. packaging is top notch.,2,True,0,2024-11-22,93,45,8,positive
R10077,P1469,Grocery,S344,U9023,3,It's okay. The size is average. Will buy again.,4,True,0,2021-06-29,84,47,9,neutral
R10078,P1414,Books,S207,U10586,2,Stopped working after a few days. Terrible fit.,3,True,0,2021-11-19,64,47,8,negative
R10079,P1364,Toys,S248,U10812,2,Stopped working after a few days. Terrible delivery.,2,True,0,2023-10-09,8,52,8,negative
R10080,P1013,Beauty,S320,U7956,1,Stopped working after a few days. Terrible performance.,4,False,3,2021-05-15,0,55,8,negative
R10081,P1158,Electronics,S213,U8261,3,Decent product for the price. warranty is acceptable.,6,True,0,2022-10-12,72,53,8,neutral
R10082,P1328,Clothing,S274,U5607,4,Loved it — warranty exceeded my expectations.,3,False,0,2024-08-03,80,45,7,positive
R10083,P1300,Home & Kitchen,S332,U6490,4,Loved it — delivery exceeded my expectations.,4,True,0,2022-09-15,102,45,7,positive
R10084,P1084,Beauty,S318,U6326,3,Decent product for the price. fit is acceptable.,4,True,1,2021-06-11,57,48,8,neutral
R10085,P1128,Beauty,S290,U6608,3,Neither good nor bad; performance could be better. Packaging was neat.,3,True,0,2024-04-27,69,70,11,neutral
R10086,P1482,Toys,S312,U9756,3,It's okay. The delivery is average.,1,False,7,2024-02-29,77,35,6,neutral
R10087,P1021,Clothing,S207,U11760,2,Very disappointed. Poor quality and arrived damaged. Packaging was neat.,5,True,0,2024-08-01,50,72,10,negative
R10088,P1015,Beauty,S338,U9079,2,Stopped working after a few days. Terrible performance.,5,False,1,2023-04-12,48,55,8,negative
R10089,P1152,Sports,S277,U8715,5,"Excellent product, great packaging, highly recommend!",5,True,1,2021-10-22,106,53,6,positive
R10090,P1160,Home & Kitchen,S274,U10884,4,Good value for money. fit is top notch.,4,True,0,2022-10-16,63,39,8,positive
R10091,P1123,Books,S335,U8821,4,Good value for money. packaging is top notch.,6,False,0,2023-05-07,86,45,8,positive
R10092,P1127,Toys,S284,U6308,1,Stopped working after a few days. Terrible fit.,4,True,0,2022-09-24,2,47,8,negative
R10093,P1254,Home & Kitchen,S206,U5189,4,Loved it — packaging exceeded my expectations.,1,True,0,2021-04-14,70,46,7,positive
R10094,P1144,Grocery,S334,U9054,5,LOVED IT — PRICE EXCEEDED MY EXPECTATIONS.,3,True,1,2022-06-26,82,42,7,positive
R10095,P1372,Sports,S321,U7996,5,Good value for money. material is top notch. Will buy again.,2,True,2,2021-05-31,82,60,11,positive
R10096,P1197,Home & Kitchen,S309,U9130,5,Five stars. Great warranty and fast delivery.,1,True,0,2021-07-18,96,45,7,positive
R10097,P1201,Electronics,S225,U8057,5,Five stars. Great fit and fast delivery.,3,True,1,2023-10-22,77,40,7,positive
R10098,P1020,Electronics,S210,U5371,2,Bad experience — quality is subpar and delivery was late.,5,True,0,2023-11-22,76,57,10,negative
R10099,P1071,Sports,S333,U7686,1,Stopped working after a few days. Terrible price.,2,True,0,2022-11-20,82,49,8,negative
R10100,P1259,Beauty,S268,U11785,5,Five stars. Great performance and fast delivery.,2,True,0,2022-11-10,107,48,7,positive
R10101,P1344,Toys,S306,U5897,5,Five stars. Great material and fast delivery.,3,True,8,2024-05-07,106,45,7,positive
R10102,P1242,Grocery,S277,U7175,2,Bad experience — price is subpar and delivery was late.,1,True,0,2024-06-23,58,55,10,negative
R10103,P1396,Books,S284,U11890,5,Very satisfied with the material and performance. Works as expected.,2,True,1,2022-01-26,106,68,10,positive
R10104,P1009,Electronics,S271,U8612,4,Loved it — fit exceeded my expectations.,3,True,0,2023-08-24,90,40,7,positive
R10105,P1446,Toys,S218,U11949,5,Very satisfied with the quality and performance. Works as expected.,1,True,0,2023-02-11,79,67,10,positive
R10106,P1160,Home & Kitchen,S274,U6418,4,Five stars. Great warranty and fast delivery.,1,True,1,2024-08-10,29,45,7,positive
R10107,P1411,Beauty,S313,U10679,4,Five stars. Great battery and fast delivery.,3,True,0,2022-09-02,84,44,7,positive
R10108,P1394,Books,S301,U7367,5,Loved it — size exceeded my expectations.,3,False,10,2022-07-15,115,41,7,positive
R10109,P1147,Books,S249,U5998,1,Wrong size and bad packaging. price was the main issue.,2,True,1,2021-10-27,5,55,10,negative
R10110,P1148,Home & Kitchen,S275,U5344,3,Decent product for the price. battery is acceptable. Customer support helped.,3,True,1,2024-01-09,87,77,11,neutral
R10111,P1138,Clothing,S337,U9604,4,Very satisfied with the battery and performance. Works as expected. Not worth the price.,1,True,0,2024-07-30,83,88,14,positive
R10112,P1119,Sports,S348,U5430,1,Wrong size and bad packaging. packaging was the main issue.,4,True,0,2024-02-02,104,59,10,negative
R10113,P1475,Sports,S256,U6293,4,Loved it — material exceeded my expectations.,4,True,1,2024-08-15,96,45,7,positive
R10114,P1030,Grocery,S344,U11297,2,Bad experience — packaging is subpar and delivery was late.,4,False,1,2021-12-25,58,59,10,negative
R10115,P1213,Electronics,S304,U11861,4,"Excellent product, great delivery, highly recommend!",3,False,0,2022-08-16,87,52,6,positive
R10116,P1448,Home & Kitchen,S288,U5306,5,Good value for money. quality is top notch.,0,True,2,2024-08-06,81,43,8,positive
R10117,P1278,Toys,S241,U9295,5,Very satisfied with the warranty and performance. Works as expected.,3,True,1,2021-11-29,125,68,10,positive
R10118,P1374,Home & Kitchen,S298,U8759,2,Bad experience — battery is subpar and delivery was late. Packaging was neat.,2,True,2,2021-12-26,60,77,13,negative
R10119,P1312,Beauty,S231,U10232,5,Loved it — material exceeded my expectations.,4,True,0,2021-10-15,67,45,7,positive
R10120,P1244,Toys,S269,U7650,1,Very disappointed. Poor size and arrived damaged.,7,False,0,2022-09-11,21,49,7,negative
R10121,P1298,Electronics,S213,U10921,4,"Excellent product, great price, highly recommend!",2,True,0,2023-08-12,109,49,6,positive
R10122,P1157,Home & Kitchen,S211,U6308,3,Decent product for the price. material is acceptable.,1,True,0,2021-08-29,48,53,8,neutral
R10123,P1327,Toys,S327,U7416,4,Five stars. Great fit and fast delivery.,3,True,0,2024-05-25,44,40,7,positive
R10124,P1191,Clothing,S257,U8406,5,Loved it — performance exceeded my expectations.,2,True,112,2024-10-25,108,48,7,positive
R10125,P1386,Toys,S203,U9880,4,Five stars. Great packaging and fast delivery.,2,True,0,2021-05-07,97,46,7,positive
R10126,P1424,Grocery,S335,U9486,5,Very satisfied with the performance and performance. Works as expected.,1,True,0,2021-08-27,113,71,10,positive
R10127,P1348,Grocery,S200,U6682,2,Wrong size and bad packaging. price was the main issue. Customer support helped.,2,True,1,2023-07-25,86,80,13,negative
R10128,P1288,Grocery,S280,U5472,4,Loved it — performance exceeded my expectations.,6,False,0,2022-03-23,80,48,7,positive
R10129,P1296,Books,S318,U5598,4,LOVED IT — QUALITY EXCEEDED MY EXPECTATIONS.,1,False,0,2021-05-22,99,44,7,positive
R10130,P1478,Grocery,S235,U8867,4,Good value for money. quality is top notch.,1,False,0,2024-08-15,30,43,8,positive
R10131,P1493,Grocery,S233,U8443,4,Loved it — fit exceeded my expectations.,4,True,2,2024-09-17,57,40,7,positive
R10132,P1447,Books,S313,U9417,5,Good value for money. delivery is top notch. Customer support helped.,3,True,4,2021-01-08,105,69,11,positive
R10133,P1387,Grocery,S236,U5186,2,Wrong size and bad packaging. battery was the main issue.,3,False,0,2022-05-22,48,57,10,negative
R10134,P1235,Home & Kitchen,S242,U7835,5,Good value for money. delivery is top notch.,4,True,0,2024-09-14,119,44,8,positive
R10135,P1214,Grocery,S315,U10037,3,It's okay. The quality is average.,10,True,0,2021-04-10,64,34,6,neutral
R10136,P1125,Home & Kitchen,S308,U11066,4,Loved it — quality exceeded my expectations.,1,True,0,2021-10-14,55,44,7,positive
R10137,P1257,Home & Kitchen,S347,U7369,5,Five stars. Great size and fast delivery.,0,True,0,2022-09-11,98,41,7,positive
R10138,P1448,Home & Kitchen,S288,U6173,4,Very satisfied with the performance and performance. Works as expected.,5,True,0,2021-12-25,82,71,10,positive
R10139,P1320,Clothing,S304,U10560,3,Decent product for the price. material is acceptable.,2,True,0,2023-12-11,69,53,8,neutral
R10140,P1163,Home & Kitchen,S226,U10704,2,Wrong size and bad packaging. material was the main issue. Customer support helped.,4,True,0,2022-04-07,58,83,13,negative
R10141,P1153,Electronics,S203,U10796,3,Neither good nor bad; delivery could be better.,1,True,1,2021-10-02,78,47,8,neutral
R10142,P1198,Books,S278,U6989,5,VERY SATISFIED WITH THE BATTERY AND PERFORMANCE. WORKS AS EXPECTED.,5,True,1,2024-01-02,136,67,10,positive
R10143,P1370,Grocery,S211,U11794,4,"Excellent product, great size, highly recommend!",1,False,2,2022-01-21,81,48,6,positive
R10144,P1411,Beauty,S313,U11239,3,Decent product for the price. price is acceptable.,1,False,1,2022-09-13,48,50,8,neutral
R10145,P1489,Clothing,S283,U5125,4,Very satisfied with the size and performance. Works as expected.,0,True,0,2022-05-12,90,64,10,positive
R10146,P1356,Home & Kitchen,S323,U9951,4,Loved it — size exceeded my expectations.,5,True,0,2023-12-29,97,41,7,positive
R10147,P1332,Books,S323,U7943,4,Good value for money. battery is top notch.,2,False,0,2023-08-20,50,43,8,positive
R10148,P1389,Toys,S239,U11879,2,Bad experience — fit is subpar and delivery was late.,1,True,0,2021-10-26,70,53,10,negative
R10149,P1008,Grocery,S297,U7136,4,Five stars. Great performance and fast delivery.,2,True,0,2023-02-17,48,48,7,positive
R10150,P1291,Electronics,S229,U11826,4,Loved it — size exceeded my expectations.,0,True,14,2023-09-28,109,41,7,positive
R10151,P1494,Electronics,S338,U10927,5,Loved it — warranty exceeded my expectations.,4,True,8,2023-09-28,95,45,7,positive
R10152,P1094,Home & Kitchen,S290,U9441,5,Five stars. Great quality and fast delivery. Will buy again.,4,True,0,2023-04-25,67,60,10,positive
R10153,P1070,Electronics,S245,U11902,5,"EXCELLENT PRODUCT, GREAT SIZE, HIGHLY RECOMMEND!",4,True,1,2024-06-19,93,48,6,positive
R10154,P1326,Beauty,S239,U10462,4,LOVED IT — PRICE EXCEEDED MY EXPECTATIONS.,1,True,0,2021-02-04,75,42,7,positive
R10155,P1271,Toys,S223,U10916,4,FIVE STARS. GREAT BATTERY AND FAST DELIVERY.,4,True,0,2022-01-03,105,44,7,positive
R10156,P1054,Clothing,S288,U5789,4,Very satisfied with the performance and performance. Works as expected.,5,True,0,2023-03-24,103,71,10,positive
R10157,P1040,Toys,S348,U8056,2,Wrong size and bad packaging. material was the main issue.,3,True,33,2021-06-15,53,58,10,negative
R10158,P1334,Beauty,S262,U10323,5,"Excellent product, great quality, highly recommend!",3,True,1,2024-12-10,64,51,6,positive
R10159,P1087,Grocery,S286,U5677,3,Neither good nor bad; warranty could be better.,4,False,0,2023-12-18,63,47,8,neutral
R10160,P1470,Grocery,S212,U5348,4,Very satisfied with the size and performance. Works as expected.,1,True,0,2021-06-02,111,64,10,positive
R10161,P1350,Electronics,S276,U7296,4,Five stars. Great performance and fast delivery.,3,True,0,2022-03-01,82,48,7,positive
R10162,P1300,Home & Kitchen,S332,U6181,4,"Excellent product, great material, highly recommend!",6,False,0,2024-10-18,82,52,6,positive
R10163,P1459,Clothing,S297,U9428,5,Loved it — fit exceeded my expectations.,0,True,0,2023-10-23,79,40,7,positive
R10164,P1381,Clothing,S225,U7833,5,"Excellent product, great quality, highly recommend!",2,True,0,2024-05-04,97,51,6,positive
R10165,P1203,Beauty,S254,U11336,5,"Excellent product, great fit, highly recommend!",4,True,0,2024-02-07,86,47,6,positive
R10166,P1481,Beauty,S279,U8075,4,Very satisfied with the material and performance. Works as expected.,3,True,2,2022-05-20,59,68,10,positive
R10167,P1365,Electronics,S261,U5602,4,Good value for money. packaging is top notch.,7,True,2,2022-10-11,71,45,8,positive
R10168,P1184,Grocery,S344,U5872,4,"Excellent product, great packaging, highly recommend!",2,True,0,2021-06-28,106,53,6,positive
R10169,P1095,Clothing,S266,U8530,5,Five stars. Great warranty and fast delivery.,8,True,0,2024-05-07,83,45,7,positive
R10170,P1306,Clothing,S268,U11426,2,Wrong size and bad packaging. fit was the main issue. Customer support helped.,1,False,0,2022-05-13,95,78,13,negative
R10171,P1292,Sports,S303,U9268,3,Decent product for the price. delivery is acceptable.,2,True,0,2021-05-10,45,53,8,neutral
R10172,P1085,Toys,S345,U8560,4,Loved it — battery exceeded my expectations.,5,False,0,2024-07-04,43,44,7,positive
R10173,P1253,Sports,S264,U9864,3,It's okay. The price is average.,12,True,0,2024-06-24,32,32,6,neutral
R10174,P1194,Toys,S315,U11586,4,Loved it — fit exceeded my expectations.,3,False,14,2021-10-06,95,40,7,positive
R10175,P1153,Electronics,S203,U7626,3,Decent product for the price. price is acceptable.,3,False,0,2022-08-20,63,50,8,neutral
R10176,P1376,Toys,S326,U10693,4,Five stars. Great warranty and fast delivery.,2,False,0,2023-01-18,80,45,7,positive
R10177,P1058,Toys,S217,U9619,4,Five stars. Great size and fast delivery.,2,True,25,2023-08-04,53,41,7,positive
R10178,P1482,Toys,S312,U10802,5,Loved it — size exceeded my expectations.,6,True,7,2021-10-13,85,41,7,positive
R10179,P1324,Sports,S318,U7480,4,Good value for money. size is top notch.,4,True,0,2024-05-09,40,40,8,positive
R10180,P1245,Beauty,S328,U9769,4,Five stars. Great material and fast delivery.,2,True,0,2023-01-07,77,45,7,positive
R10181,P1359,Sports,S341,U11654,5,Five stars. Great performance and fast delivery.,1,True,0,2022-12-29,98,48,7,positive
R10182,P1085,Toys,S345,U10300,4,"Excellent product, great price, highly recommend!",2,False,1,2022-11-11,50,49,6,positive
R10183,P1494,Electronics,S338,U11522,4,"Excellent product, great material, highly recommend! Packaging was neat.",4,True,2,2024-11-09,108,72,9,positive
R10184,P1294,Toys,S200,U6810,3,Neither good nor bad; warranty could be better.,1,True,8,2022-12-08,41,47,8,neutral
R10185,P1012,Beauty,S220,U8954,3,Neither good nor bad; packaging could be better.,1,False,0,2021-10-18,47,48,8,neutral
R10186,P1178,Grocery,S325,U7555,3,Neither good nor bad; fit could be better.,5,True,1,2024-11-27,62,42,8,neutral
R10187,P1231,Electronics,S268,U7612,1,STOPPED WORKING AFTER A FEW DAYS. TERRIBLE PACKAGING. WILL BUY AGAIN.,4,True,1,2021-12-03,91,69,11,negative
R10188,P1476,Toys,S248,U11066,4,Five stars. Great size and fast delivery.,5,False,0,2022-04-20,122,41,7,positive
R10189,P1408,Clothing,S311,U8318,4,Very satisfied with the delivery and performance. Works as expected.,8,False,0,2023-07-10,72,68,10,positive
R10190,P1303,Sports,S313,U8518,5,"Excellent product, great material, highly recommend!",1,False,0,2021-05-09,82,52,6,positive
R10191,P1295,Clothing,S338,U5833,5,Very satisfied with the performance and performance. Works as expected.,3,True,1,2023-09-30,84,71,10,positive
R10192,P1270,Electronics,S325,U10235,5,Five stars. Great fit and fast delivery.,5,True,4,2023-07-27,115,40,7,positive
R10193,P1316,Grocery,S279,U6413,3,Decent product for the price. battery is acceptable.,1,True,0,2021-08-28,97,52,8,neutral
R10194,P1093,Electronics,S254,U8058,3,Decent product for the price. delivery is acceptable.,6,True,0,2023-09-24,41,53,8,neutral
R10195,P1325,Grocery,S230,U9402,3,Decent product for the price. delivery is acceptable.,1,False,0,2024-06-22,48,53,8,neutral
R10196,P1027,Sports,S232,U7941,4,Loved it — quality exceeded my expectations. Customer support helped.,4,True,0,2024-11-03,99,69,10,positive
R10197,P1251,Toys,S310,U8404,4,Loved it — warranty exceeded my expectations.,1,True,3,2021-03-08,47,45,7,positive
R10198,P1140,Grocery,S249,U6841,1,Stopped working after a few days. Terrible performance.,2,True,60,2024-01-31,33,55,8,negative
R10199,P1261,Clothing,S210,U5927,4,"Excellent product, great price, highly recommend!",1,True,1,2021-03-27,76,49,6,positive
R10200,P1389,Toys,S239,U10889,4,Five stars. Great warranty and fast delivery.,2,True,7,2022-05-22,80,45,7,positive
R10201,P1152,Sports,S277,U5264,4,Good value for money. warranty is top notch.,3,False,0,2022-05-01,70,44,8,positive
R10202,P1107,Home & Kitchen,S342,U11641,1,Stopped working after a few days. Terrible price.,2,True,1,2022-02-28,52,49,8,negative
R10203,P1416,Beauty,S283,U6695,2,Stopped working after a few days. Terrible quality.,3,False,0,2022-08-23,65,51,8,negative
R10204,P1148,Home & Kitchen,S275,U9691,3,Decent product for the price. battery is acceptable.,4,False,0,2023-04-23,46,52,8,neutral
R10205,P1470,Grocery,S212,U5485,5,Very satisfied with the battery and performance. Works as expected.,0,True,9,2022-05-22,95,67,10,positive
R10206,P1389,Toys,S239,U11910,4,Loved it — material exceeded my expectations. Packaging was neat.,4,True,1,2021-07-10,92,65,10,positive
R10207,P1206,Books,S240,U9223,4,Good value for money. battery is top notch.,0,False,0,2021-07-10,102,43,8,positive
R10208,P1374,Home & Kitchen,S298,U8755,1,Very disappointed. Poor fit and arrived damaged.,1,False,0,2023-10-11,64,48,7,negative
R10209,P1137,Books,S230,U7644,4,Good value for money. battery is top notch.,1,False,0,2024-10-29,65,43,8,positive
R10210,P1390,Toys,S219,U5396,5,"Excellent product, great quality, highly recommend!",4,True,0,2021-01-02,123,51,6,positive
R10211,P1490,Books,S306,U8504,4,Very satisfied with the size and performance. Works as expected.,2,False,1,2021-07-11,56,64,10,positive
R10212,P1335,Books,S316,U7952,1,Very disappointed. Poor battery and arrived damaged.,7,True,1,2022-09-18,52,52,7,negative
R10213,P1371,Home & Kitchen,S281,U10729,3,Neither good nor bad; size could be better.,8,True,16,2024-04-30,56,43,8,neutral
R10214,P1115,Home & Kitchen,S256,U9255,2,Very disappointed. Poor warranty and arrived damaged. Packaging was neat.,3,True,0,2021-09-28,97,73,10,negative
R10215,P1244,Toys,S269,U5580,4,Loved it — size exceeded my expectations. Will buy again.,3,True,0,2023-02-23,63,57,10,positive
